file_basename,cell_index,frame,condition,genotype,golgi_70pct_quantile,golgi_std_deviation,centrosome_70pct_quantile,centrosome_std_deviation,filename
F10_NODRUG_CEP250KO,1,F10,NODRUG,CEP250KO,38,35.781694057406035,39,37.686902017076555,Segmented images_CEP250KO/250KO_nodrug/F10_NODRUG_CEP250KO.tif
F10_NODRUG_CEP250KO,2,F10,NODRUG,CEP250KO,63,55.476353817814775,63,56.85374551805851,Segmented images_CEP250KO/250KO_nodrug/F10_NODRUG_CEP250KO.tif
F10_NODRUG_CEP250KO,3,F10,NODRUG,CEP250KO,45,40.185963542502876,45,40.25531680052404,Segmented images_CEP250KO/250KO_nodrug/F10_NODRUG_CEP250KO.tif
F11_NODRUG_CEP250KO,1,F11,NODRUG,CEP250KO,42,39.01824290320118,45,40.90061584591299,Segmented images_CEP250KO/250KO_nodrug/F11_NODRUG_CEP250KO.tif
F11_NODRUG_CEP250KO,2,F11,NODRUG,CEP250KO,34,30.04510940811743,38,33.76297299921459,Segmented images_CEP250KO/250KO_nodrug/F11_NODRUG_CEP250KO.tif
F11_NODRUG_CEP250KO,3,F11,NODRUG,CEP250KO,39,36.173567809470406,45,40.592159295317586,Segmented images_CEP250KO/250KO_nodrug/F11_NODRUG_CEP250KO.tif
F11_NODRUG_CEP250KO,4,F11,NODRUG,CEP250KO,27,28.481294039614482,40,36.29707940788975,Segmented images_CEP250KO/250KO_nodrug/F11_NODRUG_CEP250KO.tif
F11_NODRUG_CEP250KO,5,F11,NODRUG,CEP250KO,37,33.012410199518804,39,33.74707684888601,Segmented images_CEP250KO/250KO_nodrug/F11_NODRUG_CEP250KO.tif
F11_NODRUG_CEP250KO,6,F11,NODRUG,CEP250KO,34,29.515690828611874,36,30.75898305064012,Segmented images_CEP250KO/250KO_nodrug/F11_NODRUG_CEP250KO.tif
F11_NODRUG_CEP250KO,7,F11,NODRUG,CEP250KO,24,23.89321743333247,31,28.57208025696589,Segmented images_CEP250KO/250KO_nodrug/F11_NODRUG_CEP250KO.tif
F12_NODRUG_CEP250KO,1,F12,NODRUG,CEP250KO,35,32.4660980956287,39,35.5711290236941,Segmented images_CEP250KO/250KO_nodrug/F12_NODRUG_CEP250KO.tif
F12_NODRUG_CEP250KO,2,F12,NODRUG,CEP250KO,39,33.925369331055606,40,36.07039958100769,Segmented images_CEP250KO/250KO_nodrug/F12_NODRUG_CEP250KO.tif
F12_NODRUG_CEP250KO,3,F12,NODRUG,CEP250KO,78,67.93478784333988,80,68.6887838700607,Segmented images_CEP250KO/250KO_nodrug/F12_NODRUG_CEP250KO.tif
F12_NODRUG_CEP250KO,4,F12,NODRUG,CEP250KO,34,31.235463704819768,38,34.84262014845214,Segmented images_CEP250KO/250KO_nodrug/F12_NODRUG_CEP250KO.tif
F14_NODRUG_CEP250KO,1,F14,NODRUG,CEP250KO,29,29.678159008549144,42,37.45335400075552,Segmented images_CEP250KO/250KO_nodrug/F14_NODRUG_CEP250KO.tif
F14_NODRUG_CEP250KO,2,F14,NODRUG,CEP250KO,32,35.75059334469803,52,45.98795951234701,Segmented images_CEP250KO/250KO_nodrug/F14_NODRUG_CEP250KO.tif
F14_NODRUG_CEP250KO,3,F14,NODRUG,CEP250KO,36,33.81533648063384,43,38.68387935037103,Segmented images_CEP250KO/250KO_nodrug/F14_NODRUG_CEP250KO.tif
F14_NODRUG_CEP250KO,4,F14,NODRUG,CEP250KO,26,25.55420767203741,33,29.257259018752713,Segmented images_CEP250KO/250KO_nodrug/F14_NODRUG_CEP250KO.tif
F15_NODRUG_CEP250KO,1,F15,NODRUG,CEP250KO,28,27.351727031713576,40,35.02164158330502,Segmented images_CEP250KO/250KO_nodrug/F15_NODRUG_CEP250KO.tif
F15_NODRUG_CEP250KO,2,F15,NODRUG,CEP250KO,32,30.86989670754993,42,37.072057132272214,Segmented images_CEP250KO/250KO_nodrug/F15_NODRUG_CEP250KO.tif
F15_NODRUG_CEP250KO,3,F15,NODRUG,CEP250KO,32,32.22491661299014,46,41.78507036742825,Segmented images_CEP250KO/250KO_nodrug/F15_NODRUG_CEP250KO.tif
F15_NODRUG_CEP250KO,4,F15,NODRUG,CEP250KO,40,37.00932441883607,46,40.757142299378316,Segmented images_CEP250KO/250KO_nodrug/F15_NODRUG_CEP250KO.tif
F15_NODRUG_CEP250KO,5,F15,NODRUG,CEP250KO,26,28.03190171700674,41,36.9885581782385,Segmented images_CEP250KO/250KO_nodrug/F15_NODRUG_CEP250KO.tif
F16_NODRUG_CEP250KO,1,F16,NODRUG,CEP250KO,50,43.550569436307455,53,45.09930859900573,Segmented images_CEP250KO/250KO_nodrug/F16_NODRUG_CEP250KO.tif
